entity,period,metric,value,unit,row_role,level,src_sheet,src_row,src_col,scale_applied,scale_source,raw_value,flags
합계 > 남자 > 85세 이상,2023,적용인구 (명),280494,,subtotal,0,데이터,42,4,1,none,,DITTO_FILLED
합계 > 남자 > 85세 이상,2024,적용인구 (명),308444,,subtotal,0,데이터,42,5,1,none,,DITTO_FILLED
합계 > 여자 > 합계,2023,적용인구 (명),25700248,,subtotal,0,데이터,43,4,1,none,,DITTO_FILLED
합계 > 여자 > 합계,2024,적용인구 (명),25702281,,subtotal,0,데이터,43,5,1,none,,DITTO_FILLED
합계 > 여자 > 1 - 4세,2023,적용인구 (명),546357,,subtotal,0,데이터,44,4,1,none,,DITTO_FILLED
합계 > 여자 > 1 - 4세,2024,적용인구 (명),512089,,subtotal,0,데이터,44,5,1,none,,DITTO_FILLED
합계 > 여자 > 0세,2023,적용인구 (명),111216,,subtotal,0,데이터,45,4,1,none,,DITTO_FILLED
합계 > 여자 > 0세,2024,적용인구 (명),115976,,subtotal,0,데이터,45,5,1,none,,DITTO_FILLED
합계 > 여자 > 5 - 9세,2023,적용인구 (명),973583,,subtotal,0,데이터,46,4,1,none,,DITTO_FILLED
합계 > 여자 > 5 - 9세,2024,적용인구 (명),911799,,subtotal,0,데이터,46,5,1,none,,DITTO_FILLED
합계 > 여자 > 10 - 14세,2023,적용인구 (명),1118808,,subtotal,0,데이터,47,4,1,none,,DITTO_FILLED
합계 > 여자 > 10 - 14세,2024,적용인구 (명),1118882,,subtotal,0,데이터,47,5,1,none,,DITTO_FILLED
합계 > 여자 > 15 - 19세,2023,적용인구 (명),1108964,,subtotal,0,데이터,48,4,1,none,,DITTO_FILLED
합계 > 여자 > 15 - 19세,2024,적용인구 (명),1103774,,subtotal,0,데이터,48,5,1,none,,DITTO_FILLED
합계 > 여자 > 20 - 24세,2023,적용인구 (명),1389283,,subtotal,0,데이터,49,4,1,none,,DITTO_FILLED
합계 > 여자 > 20 - 24세,2024,적용인구 (명),1335520,,subtotal,0,데이터,49,5,1,none,,DITTO_FILLED
합계 > 여자 > 25 - 29세,2023,적용인구 (명),1681203,,subtotal,0,데이터,50,4,1,none,,DITTO_FILLED
합계 > 여자 > 25 - 29세,2024,적용인구 (명),1649774,,subtotal,0,데이터,50,5,1,none,,DITTO_FILLED
합계 > 여자 > 30 - 34세,2023,적용인구 (명),1673876,,subtotal,0,데이터,51,4,1,none,,DITTO_FILLED
합계 > 여자 > 30 - 34세,2024,적용인구 (명),1706151,,subtotal,0,데이터,51,5,1,none,,DITTO_FILLED
합계 > 여자 > 35 - 39세,2023,적용인구 (명),1599171,,subtotal,0,데이터,52,4,1,none,,DITTO_FILLED
합계 > 여자 > 35 - 39세,2024,적용인구 (명),1584520,,subtotal,0,데이터,52,5,1,none,,DITTO_FILLED
합계 > 여자 > 40 - 44세,2023,적용인구 (명),2018187,,subtotal,0,데이터,53,4,1,none,,DITTO_FILLED
합계 > 여자 > 40 - 44세,2024,적용인구 (명),1937034,,subtotal,0,데이터,53,5,1,none,,DITTO_FILLED
합계 > 여자 > 45 - 49세,2023,적용인구 (명),1914548,,subtotal,0,데이터,54,4,1,none,,DITTO_FILLED
합계 > 여자 > 45 - 49세,2024,적용인구 (명),1908726,,subtotal,0,데이터,54,5,1,none,,DITTO_FILLED
합계 > 여자 > 50 - 54세,2023,적용인구 (명),2230879,,subtotal,0,데이터,55,4,1,none,,DITTO_FILLED
합계 > 여자 > 50 - 54세,2024,적용인구 (명),2192883,,subtotal,0,데이터,55,5,1,none,,DITTO_FILLED
합계 > 여자 > 55 - 59세,2023,적용인구 (명),2093850,,subtotal,0,데이터,56,4,1,none,,DITTO_FILLED
합계 > 여자 > 55 - 59세,2024,적용인구 (명),2138451,,subtotal,0,데이터,56,5,1,none,,DITTO_FILLED
합계 > 여자 > 60 - 64세,2023,적용인구 (명),2118897,,subtotal,0,데이터,57,4,1,none,,DITTO_FILLED
합계 > 여자 > 60 - 64세,2024,적용인구 (명),2104276,,subtotal,0,데이터,57,5,1,none,,DITTO_FILLED
합계 > 여자 > 65 - 69세,2023,적용인구 (명),1710630,,subtotal,0,데이터,58,4,1,none,,DITTO_FILLED
합계 > 여자 > 65 - 69세,2024,적용인구 (명),1822336,,subtotal,0,데이터,58,5,1,none,,DITTO_FILLED
합계 > 여자 > 70 - 74세,2023,적용인구 (명),1147861,,subtotal,0,데이터,59,4,1,none,,DITTO_FILLED
합계 > 여자 > 70 - 74세,2024,적용인구 (명),1212057,,subtotal,0,데이터,59,5,1,none,,DITTO_FILLED
합계 > 여자 > 75 - 79세,2023,적용인구 (명),879467,,subtotal,0,데이터,60,4,1,none,,DITTO_FILLED
합계 > 여자 > 75 - 79세,2024,적용인구 (명),918768,,subtotal,0,데이터,60,5,1,none,,DITTO_FILLED
합계 > 여자 > 80 - 84세,2023,적용인구 (명),743982,,subtotal,0,데이터,61,4,1,none,,DITTO_FILLED
합계 > 여자 > 80 - 84세,2024,적용인구 (명),743321,,subtotal,0,데이터,61,5,1,none,,DITTO_FILLED
합계 > 여자 > 85세 이상,2023,적용인구 (명),639486,,subtotal,0,데이터,62,4,1,none,,DITTO_FILLED
합계 > 여자 > 85세 이상,2024,적용인구 (명),685944,,subtotal,0,데이터,62,5,1,none,,DITTO_FILLED
서울특별시 > 계 > 합계,2023,적용인구 (명),9468103,,subtotal,0,데이터,63,4,1,none,,
서울특별시 > 계 > 합계,2024,적용인구 (명),9428822,,subtotal,0,데이터,63,5,1,none,,
서울특별시 > 계 > 1 - 4세,2023,적용인구 (명),177582,,subtotal,0,데이터,64,4,1,none,,DITTO_FILLED
서울특별시 > 계 > 1 - 4세,2024,적용인구 (명),165510,,subtotal,0,데이터,64,5,1,none,,DITTO_FILLED
서울특별시 > 계 > 0세,2023,적용인구 (명),38160,,subtotal,0,데이터,65,4,1,none,,DITTO_FILLED
서울특별시 > 계 > 0세,2024,적용인구 (명),39887,,subtotal,0,데이터,65,5,1,none,,DITTO_FILLED
서울특별시 > 계 > 5 - 9세,2023,적용인구 (명),301320,,subtotal,0,데이터,66,4,1,none,,DITTO_FILLED
서울특별시 > 계 > 5 - 9세,2024,적용인구 (명),282439,,subtotal,0,데이터,66,5,1,none,,DITTO_FILLED
서울특별시 > 계 > 10 - 14세,2023,적용인구 (명),351667,,subtotal,0,데이터,67,4,1,none,,DITTO_FILLED
서울특별시 > 계 > 10 - 14세,2024,적용인구 (명),349419,,subtotal,0,데이터,67,5,1,none,,DITTO_FILLED
서울특별시 > 계 > 15 - 19세,2023,적용인구 (명),375514,,subtotal,0,데이터,68,4,1,none,,DITTO_FILLED
서울특별시 > 계 > 15 - 19세,2024,적용인구 (명),368510,,subtotal,0,데이터,68,5,1,none,,DITTO_FILLED
서울특별시 > 계 > 20 - 24세,2023,적용인구 (명),584325,,subtotal,0,데이터,69,4,1,none,,DITTO_FILLED
서울특별시 > 계 > 20 - 24세,2024,적용인구 (명),565800,,subtotal,0,데이터,69,5,1,none,,DITTO_FILLED
서울특별시 > 계 > 25 - 29세,2023,적용인구 (명),831292,,subtotal,0,데이터,70,4,1,none,,DITTO_FILLED
서울특별시 > 계 > 25 - 29세,2024,적용인구 (명),810033,,subtotal,0,데이터,70,5,1,none,,DITTO_FILLED
서울특별시 > 계 > 30 - 34세,2023,적용인구 (명),805968,,subtotal,0,데이터,71,4,1,none,,DITTO_FILLED
서울특별시 > 계 > 30 - 34세,2024,적용인구 (명),823792,,subtotal,0,데이터,71,5,1,none,,DITTO_FILLED
서울특별시 > 계 > 35 - 39세,2023,적용인구 (명),676865,,subtotal,0,데이터,72,4,1,none,,DITTO_FILLED
서울특별시 > 계 > 35 - 39세,2024,적용인구 (명),674796,,subtotal,0,데이터,72,5,1,none,,DITTO_FILLED
서울특별시 > 계 > 40 - 44세,2023,적용인구 (명),756157,,subtotal,0,데이터,73,4,1,none,,DITTO_FILLED
서울특별시 > 계 > 40 - 44세,2024,적용인구 (명),729559,,subtotal,0,데이터,73,5,1,none,,DITTO_FILLED
서울특별시 > 계 > 45 - 49세,2023,적용인구 (명),694491,,subtotal,0,데이터,74,4,1,none,,DITTO_FILLED
서울특별시 > 계 > 45 - 49세,2024,적용인구 (명),688721,,subtotal,0,데이터,74,5,1,none,,DITTO_FILLED
서울특별시 > 계 > 50 - 54세,2023,적용인구 (명),803770,,subtotal,0,데이터,75,4,1,none,,DITTO_FILLED
서울특별시 > 계 > 50 - 54세,2024,적용인구 (명),786837,,subtotal,0,데이터,75,5,1,none,,DITTO_FILLED
