entity,period,metric,value,unit,row_role,level,src_sheet,src_row,src_col,scale_applied,scale_source,raw_value,flags
남자 > 전체 > 상대적빈곤율(중위소득50%이하 %),2023,처분가능소득,13.1,,data,0,데이터,12,7,1,none,,DITTO_FILLED
남자 > 전체 > 상대적빈곤율(중위소득50%이하 %),2024,시장소득,18.7,,data,0,데이터,12,8,1,none,,DITTO_FILLED
남자 > 전체 > 상대적빈곤율(중위소득50%이하 %),2024,처분가능소득,13.6,,data,0,데이터,12,9,1,none,,DITTO_FILLED
남자 > 근로연령인구(18~65세) > 균등화 소득평균(만원),2022,시장소득,4623,,data,0,데이터,13,4,1,none,,DITTO_FILLED
남자 > 근로연령인구(18~65세) > 균등화 소득평균(만원),2022,처분가능소득,4253,,data,0,데이터,13,5,1,none,,DITTO_FILLED
남자 > 근로연령인구(18~65세) > 균등화 소득평균(만원),2023,시장소득,5018,,data,0,데이터,13,6,1,none,,DITTO_FILLED
남자 > 근로연령인구(18~65세) > 균등화 소득평균(만원),2023,처분가능소득,4609,,data,0,데이터,13,7,1,none,,DITTO_FILLED
남자 > 근로연령인구(18~65세) > 균등화 소득평균(만원),2024,시장소득,5280,,data,0,데이터,13,8,1,none,,DITTO_FILLED
남자 > 근로연령인구(18~65세) > 균등화 소득평균(만원),2024,처분가능소득,4826,,data,0,데이터,13,9,1,none,,DITTO_FILLED
남자 > 근로연령인구(18~65세) > 상대적빈곤율(중위소득50%이하 %),2022,시장소득,12,,data,0,데이터,14,4,1,none,,DITTO_FILLED
남자 > 근로연령인구(18~65세) > 상대적빈곤율(중위소득50%이하 %),2022,처분가능소득,9.6,,data,0,데이터,14,5,1,none,,DITTO_FILLED
남자 > 근로연령인구(18~65세) > 상대적빈곤율(중위소득50%이하 %),2023,시장소득,11.6,,data,0,데이터,14,6,1,none,,DITTO_FILLED
남자 > 근로연령인구(18~65세) > 상대적빈곤율(중위소득50%이하 %),2023,처분가능소득,9.7,,data,0,데이터,14,7,1,none,,DITTO_FILLED
남자 > 근로연령인구(18~65세) > 상대적빈곤율(중위소득50%이하 %),2024,시장소득,12.5,,data,0,데이터,14,8,1,none,,DITTO_FILLED
남자 > 근로연령인구(18~65세) > 상대적빈곤율(중위소득50%이하 %),2024,처분가능소득,10.3,,data,0,데이터,14,9,1,none,,DITTO_FILLED
남자 > 은퇴연령인구(66세 이상) > 균등화 소득평균(만원),2022,시장소득,2288,,data,0,데이터,15,4,1,none,,DITTO_FILLED
남자 > 은퇴연령인구(66세 이상) > 균등화 소득평균(만원),2022,처분가능소득,2968,,data,0,데이터,15,5,1,none,,DITTO_FILLED
남자 > 은퇴연령인구(66세 이상) > 균등화 소득평균(만원),2023,시장소득,2554,,data,0,데이터,15,6,1,none,,DITTO_FILLED
남자 > 은퇴연령인구(66세 이상) > 균등화 소득평균(만원),2023,처분가능소득,3237,,data,0,데이터,15,7,1,none,,DITTO_FILLED
남자 > 은퇴연령인구(66세 이상) > 균등화 소득평균(만원),2024,시장소득,2708,,data,0,데이터,15,8,1,none,,DITTO_FILLED
남자 > 은퇴연령인구(66세 이상) > 균등화 소득평균(만원),2024,처분가능소득,3440,,data,0,데이터,15,9,1,none,,DITTO_FILLED
남자 > 은퇴연령인구(66세 이상) > 상대적빈곤율(중위소득50%이하 %),2022,시장소득,54.1,,data,0,데이터,16,4,1,none,,DITTO_FILLED
남자 > 은퇴연령인구(66세 이상) > 상대적빈곤율(중위소득50%이하 %),2022,처분가능소득,32.7,,data,0,데이터,16,5,1,none,,DITTO_FILLED
남자 > 은퇴연령인구(66세 이상) > 상대적빈곤율(중위소득50%이하 %),2023,시장소득,52.1,,data,0,데이터,16,6,1,none,,DITTO_FILLED
남자 > 은퇴연령인구(66세 이상) > 상대적빈곤율(중위소득50%이하 %),2023,처분가능소득,33.3,,data,0,데이터,16,7,1,none,,DITTO_FILLED
남자 > 은퇴연령인구(66세 이상) > 상대적빈곤율(중위소득50%이하 %),2024,시장소득,52.2,,data,0,데이터,16,8,1,none,,DITTO_FILLED
남자 > 은퇴연령인구(66세 이상) > 상대적빈곤율(중위소득50%이하 %),2024,처분가능소득,31.3,,data,0,데이터,16,9,1,none,,DITTO_FILLED
남자 > 노인인구(65세 이상) > 균등화 소득평균(만원),2022,시장소득,2367,,data,0,데이터,17,4,1,none,,DITTO_FILLED
남자 > 노인인구(65세 이상) > 균등화 소득평균(만원),2022,처분가능소득,3043,,data,0,데이터,17,5,1,none,,DITTO_FILLED
남자 > 노인인구(65세 이상) > 균등화 소득평균(만원),2023,시장소득,2626,,data,0,데이터,17,6,1,none,,DITTO_FILLED
남자 > 노인인구(65세 이상) > 균등화 소득평균(만원),2023,처분가능소득,3307,,data,0,데이터,17,7,1,none,,DITTO_FILLED
남자 > 노인인구(65세 이상) > 균등화 소득평균(만원),2024,시장소득,2873,,data,0,데이터,17,8,1,none,,DITTO_FILLED
남자 > 노인인구(65세 이상) > 균등화 소득평균(만원),2024,처분가능소득,3583,,data,0,데이터,17,9,1,none,,DITTO_FILLED
남자 > 노인인구(65세 이상) > 상대적빈곤율(중위소득50%이하 %),2022,시장소득,51.9,,data,0,데이터,18,4,1,none,,DITTO_FILLED
남자 > 노인인구(65세 이상) > 상대적빈곤율(중위소득50%이하 %),2022,처분가능소득,31.2,,data,0,데이터,18,5,1,none,,DITTO_FILLED
남자 > 노인인구(65세 이상) > 상대적빈곤율(중위소득50%이하 %),2023,시장소득,50.4,,data,0,데이터,18,6,1,none,,DITTO_FILLED
남자 > 노인인구(65세 이상) > 상대적빈곤율(중위소득50%이하 %),2023,처분가능소득,31.8,,data,0,데이터,18,7,1,none,,DITTO_FILLED
남자 > 노인인구(65세 이상) > 상대적빈곤율(중위소득50%이하 %),2024,시장소득,49.5,,data,0,데이터,18,8,1,none,,DITTO_FILLED
남자 > 노인인구(65세 이상) > 상대적빈곤율(중위소득50%이하 %),2024,처분가능소득,29.5,,data,0,데이터,18,9,1,none,,DITTO_FILLED
여자 > 전체 > 균등화 소득평균(만원),2022,시장소득,4056,,data,0,데이터,19,4,1,none,,
여자 > 전체 > 균등화 소득평균(만원),2022,처분가능소득,3865,,data,0,데이터,19,5,1,none,,
여자 > 전체 > 균등화 소득평균(만원),2023,시장소득,4404,,data,0,데이터,19,6,1,none,,
여자 > 전체 > 균등화 소득평균(만원),2023,처분가능소득,4190,,data,0,데이터,19,7,1,none,,
여자 > 전체 > 균등화 소득평균(만원),2024,시장소득,4588,,data,0,데이터,19,8,1,none,,
여자 > 전체 > 균등화 소득평균(만원),2024,처분가능소득,4375,,data,0,데이터,19,9,1,none,,
여자 > 전체 > 상대적빈곤율(중위소득50%이하 %),2022,시장소득,22.3,,data,0,데이터,20,4,1,none,,DITTO_FILLED
여자 > 전체 > 상대적빈곤율(중위소득50%이하 %),2022,처분가능소득,16.7,,data,0,데이터,20,5,1,none,,DITTO_FILLED
여자 > 전체 > 상대적빈곤율(중위소득50%이하 %),2023,시장소득,22,,data,0,데이터,20,6,1,none,,DITTO_FILLED
여자 > 전체 > 상대적빈곤율(중위소득50%이하 %),2023,처분가능소득,16.7,,data,0,데이터,20,7,1,none,,DITTO_FILLED
여자 > 전체 > 상대적빈곤율(중위소득50%이하 %),2024,시장소득,23.1,,data,0,데이터,20,8,1,none,,DITTO_FILLED
여자 > 전체 > 상대적빈곤율(중위소득50%이하 %),2024,처분가능소득,17.1,,data,0,데이터,20,9,1,none,,DITTO_FILLED
여자 > 근로연령인구(18~65세) > 균등화 소득평균(만원),2022,시장소득,4559,,data,0,데이터,21,4,1,none,,DITTO_FILLED
여자 > 근로연령인구(18~65세) > 균등화 소득평균(만원),2022,처분가능소득,4221,,data,0,데이터,21,5,1,none,,DITTO_FILLED
여자 > 근로연령인구(18~65세) > 균등화 소득평균(만원),2023,시장소득,4972,,data,0,데이터,21,6,1,none,,DITTO_FILLED
여자 > 근로연령인구(18~65세) > 균등화 소득평균(만원),2023,처분가능소득,4593,,data,0,데이터,21,7,1,none,,DITTO_FILLED
여자 > 근로연령인구(18~65세) > 균등화 소득평균(만원),2024,시장소득,5252,,data,0,데이터,21,8,1,none,,DITTO_FILLED
